Path,Genre
dataset/lmd_matched\A\B\B\TRABBNH128F93392A1/01b5b401a98fa77f45b25063c7cdaeb3.mid,RnB
dataset/lmd_matched\A\B\B\TRABBNH128F93392A1/275833bbe414a6bd9f6de29718bcd4bc.mid,RnB
dataset/lmd_matched\A\B\B\TRABBNH128F93392A1/2cc298768ae1392dea8ad1a751d7de13.mid,RnB
dataset/lmd_matched\A\B\B\TRABBNH128F93392A1/31b7ff5590adb09ebf9fda25f5acbf44.mid,RnB
dataset/lmd_matched\A\B\B\TRABBNH128F93392A1/35e5206ec434301569306e1184941c65.mid,RnB
dataset/lmd_matched\A\B\B\TRABBNH128F93392A1/5334df5212908182f4031f702262b0c5.mid,RnB
dataset/lmd_matched\A\B\B\TRABBNH128F93392A1/5bd8056ea40ae973758c85881e979d04.mid,RnB
dataset/lmd_matched\A\B\B\TRABBNH128F93392A1/62f4d8788ba05f3c49ebfa6fc9164621.mid,RnB
dataset/lmd_matched\A\B\B\TRABBNH128F93392A1/6a3b7769dd8e430c17b5d0096dd0b0e1.mid,RnB
dataset/lmd_matched\A\B\B\TRABBNH128F93392A1/7fc6da9410019baa50ff50f0cbcbad6a.mid,RnB
dataset/lmd_matched\A\B\B\TRABBNH128F93392A1/99ab460a8a96bbcecca7f15e982cc94b.mid,RnB
dataset/lmd_matched\A\B\B\TRABBNH128F93392A1/9e93e6a2f4c25f7fa60c85dca81fe831.mid,RnB
dataset/lmd_matched\A\B\B\TRABBNH128F93392A1/b66cea86a1719b4ca78650a9ac7e61b7.mid,RnB
dataset/lmd_matched\A\B\B\TRABBNH128F93392A1/c76c7e09f6577f3d3453f32df3befdd8.mid,RnB
dataset/lmd_matched\A\B\B\TRABBNH128F93392A1/e2812ec41a07bd0705cf16a9627d92a3.mid,RnB
dataset/lmd_matched\A\B\B\TRABBNH128F93392A1/ffca224a4bda3aac5d5d72e90d08bac9.mid,RnB
dataset/lmd_matched\A\B\C\TRABCJP128F4228913/051c96b5209e18cc4e263efe58df16e8.mid,Jazz
dataset/lmd_matched\A\B\C\TRABCJP128F4228913/0eefdb0c1f53b4f3b8c942ced53fdebd.mid,Jazz
dataset/lmd_matched\A\B\C\TRABCJP128F4228913/202faf6c173462c9c800c0d3995c7852.mid,Jazz
dataset/lmd_matched\A\B\C\TRABCJP128F4228913/2ddc9763c09bb28164ecac5bc7e78436.mid,Jazz
dataset/lmd_matched\A\B\C\TRABCJP128F4228913/3f9262b078278487cb16611be2839a5f.mid,Jazz
dataset/lmd_matched\A\B\C\TRABCJP128F4228913/6914318c1bce0ec0c7d39cae5fbdcdcf.mid,Jazz
dataset/lmd_matched\A\B\C\TRABCJP128F4228913/94712dad39d956a74de48b04f3dac846.mid,Jazz
dataset/lmd_matched\A\B\C\TRABCJP128F4228913/cec3f011d89033221cf9a236e18637b1.mid,Jazz
dataset/lmd_matched\A\B\C\TRABCJP128F4228913/d42ccfc16e318bdeaf54bddd29199bbc.mid,Jazz
dataset/lmd_matched\A\B\C\TRABCJP128F4228913/d6de10fd4782b24ce5f41fa52a7144c3.mid,Jazz
dataset/lmd_matched\A\B\C\TRABCJP128F4228913/da3a4fd1778031e591ce627de9e8ae88.mid,Jazz
dataset/lmd_matched\A\B\G\TRABGCD128F42884EB/89be0ac97755ad4c5d682d5129586b89.mid,Pop
dataset/lmd_matched\A\B\G\TRABGMB128F92E8CF7/141bd32c03e7243b4fc2d3d1ccc64852.mid,Pop
dataset/lmd_matched\A\B\L\TRABLNQ128F930E053/2dc179329eace7978f7d66396c78a1e5.mid,Pop
dataset/lmd_matched\A\B\L\TRABLNQ128F930E053/7a01972e58fa7bdcd643e525ffc75277.mid,Pop
dataset/lmd_matched\A\B\L\TRABLNQ128F930E053/8927673bba995d9f4dd9c8bdb22ee2a9.mid,Pop
dataset/lmd_matched\A\B\L\TRABLNQ128F930E053/94d07fee85503a151c4182e5b8d524dc.mid,Pop
dataset/lmd_matched\A\B\L\TRABLNQ128F930E053/db9f92f42488e0878b59fc4c1997369e.mid,Pop
dataset/lmd_matched\A\B\M\TRABMFI128F1476F9F/f7eba204c8ae2a38d51971439a5018bf.mid,Rock
dataset/lmd_matched\A\B\N\TRABNZK128F42AB221/21e9660127ff5467ac01a5128baf1926.mid,RnB
dataset/lmd_matched\A\B\Q\TRABQDP128F42921F8/03cfe9c5bcba85382e3baa8754e2953e.mid,Pop
dataset/lmd_matched\A\B\Q\TRABQDP128F42921F8/076ea643b6152ccc686a9355f01b0068.mid,Pop
dataset/lmd_matched\A\B\Q\TRABQDP128F42921F8/3a21dcdcf35a6209d10f77e7af68eb61.mid,Pop
dataset/lmd_matched\A\B\Q\TRABQDP128F42921F8/57cc06429401c8ee88350b7ea65412b5.mid,Pop
dataset/lmd_matched\A\B\Q\TRABQDP128F42921F8/5c247d54f74daecd0cd3d1b4e0aefd2b.mid,Pop
dataset/lmd_matched\A\B\Q\TRABQDP128F42921F8/5d41553bad144f3882aead5d0e322b6a.mid,Pop
dataset/lmd_matched\A\B\Q\TRABQDP128F42921F8/5f2e676016c34d7c4568a9b552316721.mid,Pop
dataset/lmd_matched\A\B\Q\TRABQDP128F42921F8/669b134a6269bf122e5af4dcc77bff7f.mid,Pop
dataset/lmd_matched\A\B\Q\TRABQDP128F42921F8/6e794a0ee176bde9036e2051968e8dde.mid,Pop
dataset/lmd_matched\A\B\Q\TRABQDP128F42921F8/78a123e40f61ed753fbbb8ccce2d99d7.mid,Pop
dataset/lmd_matched\A\B\Q\TRABQDP128F42921F8/b623e5a16b054783d761c9210ce759e9.mid,Pop
dataset/lmd_matched\A\B\Q\TRABQDP128F42921F8/c56988f597f2c28e1c4409f555ae12d3.mid,Pop
dataset/lmd_matched\A\B\Q\TRABQDP128F42921F8/d93c82764d7d5986cb032f223a7cefe3.mid,Pop
dataset/lmd_matched\A\B\Q\TRABQDP128F42921F8/de7115a474c86b2a37e3b855e32497b5.mid,Pop
dataset/lmd_matched\A\B\Q\TRABQEP128F427F957/cbca4c2752c2b96613c65284ca2b9200.mid,Rock
dataset/lmd_matched\A\B\Q\TRABQUM12903C9A618/1121cff47e8cdd74b7200f3d399a7c96.mid,Rock
dataset/lmd_matched\A\B\Q\TRABQUM12903C9A618/18c64e0d22d6555e9add99dbc7416d69.mid,Rock
dataset/lmd_matched\A\B\Q\TRABQUM12903C9A618/f45fe9f0c0619c37cb1bd98b7fd66f9e.mid,Rock
dataset/lmd_matched\A\B\R\TRABRUJ128F42ADE0D/025fb4d42ff236cb25881dde5c380c1a.mid,Rock
dataset/lmd_matched\A\B\R\TRABRUJ128F42ADE0D/1e830ed0190e6f18a487557c577401dc.mid,Rock
dataset/lmd_matched\A\B\T\TRABTWX128F42B8619/7065a08391ee86cbbd393ba94b732739.mid,Country
dataset/lmd_matched\A\B\U\TRABUCZ128F424163A/4b809c095597c4533cf4d8b3126b49ee.mid,Rock
dataset/lmd_matched\A\B\U\TRABUSZ128F4257BAB/0350e57757e2e2bd2d6aadf14ee9065d.mid,Reggae
dataset/lmd_matched\A\B\U\TRABUSZ128F4257BAB/64dd7e07512a809133d27afcd7e7c031.mid,Reggae
dataset/lmd_matched\A\B\U\TRABUSZ128F4257BAB/73da8ddd716fbfe501f53e2733c218f5.mid,Reggae
dataset/lmd_matched\A\B\U\TRABUSZ128F4257BAB/c353032f06dcbae3cc36bd6b70a7aa6c.mid,Reggae
dataset/lmd_matched\A\B\V\TRABVVK12903CF09C8/2eb9c151271bd4db228314806424efc5.mid,Country
dataset/lmd_matched\A\B\V\TRABVVK12903CF09C8/41fb99775d6bc39cddc34203cbe310c4.mid,Country
dataset/lmd_matched\A\B\V\TRABVVK12903CF09C8/6fddb5daa2a0d3e4e8e6df99cba43dea.mid,Country
dataset/lmd_matched\A\B\V\TRABVVK12903CF09C8/7bf59fbc8472f3ad88f683b3e2daa0e9.mid,Country
dataset/lmd_matched\A\B\V\TRABVVK12903CF09C8/cd76dde9b032defba29f4147dfd2e16d.mid,Country
dataset/lmd_matched\A\B\V\TRABVVK12903CF09C8/eac8ba0ac4c7540ac17a39ad99d90ca8.mid,Country
dataset/lmd_matched\A\B\V\TRABVVN12903CB6445/1dbcd2e2ba968cbd1f9cab03a81f2adb.mid,Rock
dataset/lmd_matched\A\B\V\TRABVVN12903CB6445/d809d7337042605a186eef7a81fa49f6.mid,Rock
dataset/lmd_matched\A\B\X\TRABXWL128F930C085/4a3f9d8726f5c51606638d586332621d.mid,Rock
dataset/lmd_matched\A\C\D\TRACDHB12903CDF8F6/83a50075bffb075a9cbc1047d1d3096e.mid,Electronic
dataset/lmd_matched\A\C\D\TRACDHB12903CDF8F6/d5d063749eb300431d7caec2b039dccc.mid,Electronic
dataset/lmd_matched\A\C\D\TRACDLP12903CBE918/eeeea7ca7185792d5a0a4a9ef85d7838.mid,Pop
dataset/lmd_matched\A\C\H\TRACHRV128F4214FB6/020ae8f827b69c9e6f953284f75542c6.mid,Rock
dataset/lmd_matched\A\C\H\TRACHRV128F4214FB6/5dd4427d17c9f72d41231ac40337f30b.mid,Rock
dataset/lmd_matched\A\C\J\TRACJWL128F92FB60E/31a3a52f9d682d9621d8cae6303aad72.mid,Latin
dataset/lmd_matched\A\C\J\TRACJWL128F92FB60E/b242fbf1d8837bac7570e84c0813aeff.mid,Latin
dataset/lmd_matched\A\C\J\TRACJWL128F92FB60E/f06251373c71541ff02a7bf6375b4d88.mid,Latin
dataset/lmd_matched\A\C\J\TRACJYX128F1453469/5ad0f2d306586aea2de1f1652e0b1652.mid,Pop
dataset/lmd_matched\A\C\J\TRACJYX128F1453469/a48b7872f146d074345e5202e463c369.mid,Pop
dataset/lmd_matched\A\C\K\TRACKAP128F425B741/202e8bf3824576d0a3925a4bda048b65.mid,Pop
dataset/lmd_matched\A\C\K\TRACKAP128F425B741/5d75b6e38a570be3a95ea11c7b2bdfe7.mid,Pop
dataset/lmd_matched\A\C\L\TRACLRS12903CE9386/0e0265a8602a207cbb499d498027d52f.mid,Country
dataset/lmd_matched\A\C\L\TRACLRS12903CE9386/11bba91551df09e1d1eae4a5cd64eca2.mid,Country
dataset/lmd_matched\A\C\L\TRACLRS12903CE9386/1a780a47b2defd353f151c1474705c1c.mid,Country
dataset/lmd_matched\A\C\L\TRACLRS12903CE9386/2990dbce45f80eba1a58db4738b348fa.mid,Country
dataset/lmd_matched\A\C\L\TRACLRS12903CE9386/31509dc0234fa7659ab65c561a59422d.mid,Country
dataset/lmd_matched\A\C\L\TRACLRS12903CE9386/5ae5c29a99afa80e5d8ed80ad8861d2e.mid,Country
dataset/lmd_matched\A\C\L\TRACLRS12903CE9386/5e4ba475350a6383620a7228a2f7b609.mid,Country
dataset/lmd_matched\A\C\L\TRACLRS12903CE9386/6359142321a23930cdb22795e6f72f4f.mid,Country
dataset/lmd_matched\A\C\L\TRACLRS12903CE9386/79e39fe30057bdb06377d2e3490ce21f.mid,Country
dataset/lmd_matched\A\C\L\TRACLRS12903CE9386/83d649bd6de19aa620cb914993e32965.mid,Country
dataset/lmd_matched\A\C\L\TRACLRS12903CE9386/869a9ba289e9165123ad90137e78b8fa.mid,Country
dataset/lmd_matched\A\C\L\TRACLRS12903CE9386/922b65a219ff0529c433bb398a9e98ae.mid,Country
dataset/lmd_matched\A\C\L\TRACLRS12903CE9386/a653449f8ea8dcb4bb7ba33913f472dc.mid,Country
dataset/lmd_matched\A\C\L\TRACLRS12903CE9386/ada9016ccec2dca3d96477d613cac225.mid,Country
dataset/lmd_matched\A\C\L\TRACLRS12903CE9386/b673a8acfe44d0f375555371f41d80d4.mid,Country
dataset/lmd_matched\A\C\L\TRACLRS12903CE9386/c45a2682a34c088f1d631c717c60d97e.mid,Country
dataset/lmd_matched\A\C\L\TRACLRS12903CE9386/c83897c8877b585dfdb7bc0aeb3e9b04.mid,Country
dataset/lmd_matched\A\C\L\TRACLRS12903CE9386/cfd42408e401de7c48d7816ec23ef92f.mid,Country
dataset/lmd_matched\A\C\L\TRACLRS12903CE9386/d18c2901a613b69182be639764872dc1.mid,Country
dataset/lmd_matched\A\C\L\TRACLRS12903CE9386/d4e1bcd7e8f2e320694c6eeff1fa5f6c.mid,Country
dataset/lmd_matched\A\C\L\TRACLRS12903CE9386/ebe4ba16baa323c5ab2e9e481b127739.mid,Country
dataset/lmd_matched\A\C\M\TRACMAJ128F1458881/5cd447060287a9c06a83b0ea6b277301.mid,Pop
dataset/lmd_matched\A\C\M\TRACMAJ128F1458881/ac391712be918b7780cdb984c896efc9.mid,Pop
dataset/lmd_matched\A\C\N\TRACNAS128F14567C6/69d2890452972dd653a5fa0b2fc5a813.mid,Rock
dataset/lmd_matched\A\C\N\TRACNAS128F14567C6/a5cf3a2c4cb78257584eedc0f4fab658.mid,Rock
dataset/lmd_matched\A\C\N\TRACNAS128F14567C6/c9233dfb0d6addb75338c15dd4224ebd.mid,Rock
dataset/lmd_matched\A\C\N\TRACNMH12903CA9CCC/c1f6817c7e5a03aa5214ff1db0b7d7d8.mid,Pop
dataset/lmd_matched\A\C\P\TRACPLH128F428D852/1418a5182d4d55d2f100d43709088db2.mid,Country
dataset/lmd_matched\A\C\S\TRACSYG128F9320552/080ba7d777ee065f0045bd5c1a7e3465.mid,Rock
dataset/lmd_matched\A\C\T\TRACTES128F427AD28/15d5cbc7defe7a159616a3cec5bf5c22.mid,Country
dataset/lmd_matched\A\C\T\TRACTES128F427AD28/3c1ec053eeebb0bc3b7e7290d46d7059.mid,Country
dataset/lmd_matched\A\C\T\TRACTES128F427AD28/59a78b8268b8e3a14210ef68dff1b604.mid,Country
dataset/lmd_matched\A\C\T\TRACTES128F427AD28/5dd6792ac7f7bc2253872771dcf2e49b.mid,Country
dataset/lmd_matched\A\C\T\TRACTES128F427AD28/9cbeabb5f08aa5102af322e63e760426.mid,Country
dataset/lmd_matched\A\C\T\TRACTES128F427AD28/a28070e38c11138ab5f8607648f14d71.mid,Country
dataset/lmd_matched\A\C\T\TRACTES128F427AD28/c07ed74d0fe6ac01788e6528f2e6fd38.mid,Country
dataset/lmd_matched\A\C\T\TRACTES128F427AD28/c4747807b9d4cc99028cd149084eeeab.mid,Country
dataset/lmd_matched\A\C\T\TRACTES128F427AD28/cd62f66549aa641d68f9677a08604138.mid,Country
dataset/lmd_matched\A\C\T\TRACTES128F427AD28/f77dbaf817e53462b887fe25367a10d7.mid,Country
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/042cda3ea84ef080ccba92ba31bce218.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/193ea30beb4016b10796a8087f975dd8.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/31d69d5a61552bc0d01a668add0d3654.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/3313293cf99bdfd56678e33f77ae1e14.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/3dfc07cc94a835831be7f63b54e91d32.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/423ab2d5c0337662463d7faf4a75fcbb.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/4ab4b31bde788e0088288c6e1d7b8faf.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/520deff71228d5bd93460c88b223ac6f.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/569b1dd200b80e7cb97be39b5c1010c3.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/5c5b2d09c4cb1f535c7cfa5f682334b9.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/5cd42e4a5604cf10db37c852e332e8fb.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/5d9af4a92c1636f542bed01d4f8eaed0.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/5ec3f13da1e435f67df69db35fb3be08.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/69193d1c3e5df54174f95ca7032bba6f.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/6ad70b939962c573d8628c29edd6be13.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/6afd71b109f082243ed3894014af31da.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/774acd9cb97319c4adaf60e7970c32f6.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/7ad3aa2c295daba24b92e13250cc079f.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/81e221a635a0aaac78cd66e2fdd81c9b.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/8d863b06dd3101bdbe3cbe049cdaa0ce.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/8e11c74c97ab39164e697240b17de89c.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/9451b1abcd27a499f342a5c5fa9a710d.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/d8212e4cb6fb761c464b2251abc2e30f.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/e1ed7fd5cc3ce4e200056f1fcc1f49a3.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/e262f1f65b03d32e1c92699334b602e8.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/e6e6e6df4fb0eac635d267d87103cd66.mid,RnB
dataset/lmd_matched\A\C\U\TRACUCQ128F92FFBF7/f745366783245da069c1a3222329ccd4.mid,RnB
dataset/lmd_matched\A\C\W\TRACWFC128F4298670/343aa2df3cc16acb7faecc4e18628c5a.mid,Rock
dataset/lmd_matched\A\C\W\TRACWGP12903CA4553/e657869425d1813b5f8c74160de5fe34.mid,Latin
dataset/lmd_matched\A\C\X\TRACXGH128F931686C/1b282b8ebc07576143abb02cddbf7247.mid,Rock
dataset/lmd_matched\A\C\X\TRACXXJ128F426A02A/8294b5970e40a1e141c966ea5e6aa868.mid,Country
dataset/lmd_matched\A\C\X\TRACXXJ128F426A02A/c50379ef6fe904049e069bb1bdf75413.mid,Country
dataset/lmd_matched\A\C\Y\TRACYCJ128F9309246/2565fa4e947885e463f69418655d5b90.mid,Pop
dataset/lmd_matched\A\C\Y\TRACYCJ128F9309246/d66e885707a45868c3022fe97f999d63.mid,Pop
dataset/lmd_matched\A\D\C\TRADCIF128F9338278/7157c5dd332514646e0a40f223574c7e.mid,Rock
dataset/lmd_matched\A\D\D\TRADDXS12903CEDB38/2bc183df7dbcd3f733f66749c073a5d8.mid,Pop
dataset/lmd_matched\A\D\E\TRADEPB12903CCBAEE/12731f99343a9d12b83e200ba075abd9.mid,Rock
dataset/lmd_matched\A\D\E\TRADEPB12903CCBAEE/1b176cd6365d17de01c276700b20a7ff.mid,Rock
dataset/lmd_matched\A\D\E\TRADEPB12903CCBAEE/7e96a0f2c6e4eb3c8c5dbd098ddf5cf7.mid,Rock
dataset/lmd_matched\A\D\E\TRADEPB12903CCBAEE/ae5d7ae43b15678966582477bd198f27.mid,Rock
dataset/lmd_matched\A\D\E\TRADEPB12903CCBAEE/bb26ad9ddf382c8f2968b5a2b1a34a7e.mid,Rock
dataset/lmd_matched\A\D\E\TRADEPB12903CCBAEE/d3dd9e1d15d8dfcd214facbb4b929f7c.mid,Rock
dataset/lmd_matched\A\D\F\TRADFCO12903CA9439/ed631d6ae699e2b76bafdf6e8affdaee.mid,Pop
dataset/lmd_matched\A\D\J\TRADJBZ128F1491A61/7f6b28767fce9f5106036154864c7b57.mid,Pop
dataset/lmd_matched\A\D\J\TRADJGT12903C9EE47/02339367962b4818665feefbe32e3c13.mid,Pop
dataset/lmd_matched\A\D\J\TRADJGT12903C9EE47/bd7312c116f30f369540b24c9572737b.mid,Pop
dataset/lmd_matched\A\D\J\TRADJGT12903C9EE47/e10f98898e6fc7cd6f8113b6d32f5fc9.mid,Pop
dataset/lmd_matched\A\D\K\TRADKYD128F4286CB0/0c2600766d5c277b6e66692e4007d0d5.mid,Rock
dataset/lmd_matched\A\D\K\TRADKYD128F4286CB0/1342e558ce61e438fd449d6db689f3d7.mid,Rock
dataset/lmd_matched\A\D\K\TRADKYD128F4286CB0/3c23ebb6de56319baba46e7ea39b65da.mid,Rock
dataset/lmd_matched\A\D\K\TRADKYD128F4286CB0/504c5957e585038f792044a3726a3406.mid,Rock
dataset/lmd_matched\A\D\K\TRADKYD128F4286CB0/a7740ab8135e1749ada8684b9fe797ea.mid,Rock
dataset/lmd_matched\A\D\K\TRADKYD128F4286CB0/a8423792c8d964507de51585ea58ea17.mid,Rock
dataset/lmd_matched\A\D\K\TRADKYD128F4286CB0/d06a3874e74fc91c8aaec429cca0b753.mid,Rock
dataset/lmd_matched\A\D\K\TRADKYD128F4286CB0/f99ca93a31bbece839adf1d12aa37824.mid,Rock
dataset/lmd_matched\A\D\Q\TRADQXE128F1466AB9/a500e8e11c414919c942b29831b63eae.mid,Metal
dataset/lmd_matched\A\D\S\TRADSQZ128F42707D7/8ea45ae21fed9ef0a772c42eb31d63a9.mid,Rock
dataset/lmd_matched\A\D\S\TRADSUF12903CB68F4/0a59de4078e1d38fa090550b6ef61ae8.mid,Electronic
dataset/lmd_matched\A\D\T\TRADTCD128F93358C5/060527d8c0d631f65a739c7967da44e9.mid,Pop
dataset/lmd_matched\A\D\T\TRADTKC12903D0BB81/012b2fd0d9b43b115796c398a9edb4e2.mid,Rock
dataset/lmd_matched\A\D\T\TRADTKC12903D0BB81/0354a9a731cc9404eb599b814a4cfacd.mid,Rock
dataset/lmd_matched\A\D\T\TRADTKC12903D0BB81/195b720e468b5ae78719a3c551c2c330.mid,Rock
dataset/lmd_matched\A\D\T\TRADTKC12903D0BB81/52d4eaffc8b88b99d035c85a9f603195.mid,Rock
dataset/lmd_matched\A\D\T\TRADTKC12903D0BB81/729ef2bb8430ae9ee8a6b33153fec16f.mid,Rock
dataset/lmd_matched\A\D\T\TRADTKC12903D0BB81/797c297ea0398f3728e71fdd0d4be081.mid,Rock
dataset/lmd_matched\A\D\T\TRADTKC12903D0BB81/7f3ea6fabb7214da39da503ff867c20d.mid,Rock
dataset/lmd_matched\A\D\T\TRADTKC12903D0BB81/84f8662aa07c7220c6b128c9e071a01e.mid,Rock
dataset/lmd_matched\A\D\T\TRADTKC12903D0BB81/8805a4a4631a6804c2a716e4d2a939bc.mid,Rock
dataset/lmd_matched\A\D\T\TRADTKC12903D0BB81/adbb46094c7a87dded643935438d3a0a.mid,Rock
dataset/lmd_matched\A\D\T\TRADTKC12903D0BB81/affbaa7912e94204d85058cda6885d67.mid,Rock
dataset/lmd_matched\A\D\T\TRADTKC12903D0BB81/c2635fa3282bfc86fe157be595016278.mid,Rock
dataset/lmd_matched\A\D\T\TRADTKC12903D0BB81/c54f69862574f1f8c7f250ca64c8a6c6.mid,Rock
dataset/lmd_matched\A\D\T\TRADTKC12903D0BB81/ca265da33ed2b5e51d0612cb55e842b7.mid,Rock
dataset/lmd_matched\A\D\T\TRADTWS128F4241AC1/0f438d31617da463967f168c11327591.mid,Pop
